command,code,operation
"bst r,b",1111101bbbbb0bbb,T←Rr (b)
"bld d,b",1111100bbbbb0bbb,Rd (b) ←T
bset s,100101000sss1000,SREG (s) ←1
bclr s,100101001sss1000,SREG (s) ←0
sec,1001010000001000,C←1
clc,1001010010001000,C←0
sez,1001010000011000,Z←1
clz,1001010010011000,Z←0
sen,1001010000101000,N←1
cln,1001010010101000,N←0
sev,1001010000111000,V←1
clv,1001010010111000,V←0
ses,1001010001001000,S←1
cls,1001010011001000,S←0
seh,1001010001011000,H←1
clh,1001010011011000,H←0
set,1001010001101000,T←1
clt,1001010011101000,T←0
sei,1001010001111000,I←1
cli,1001010011111000,I←0
nop,0000000000000000,—
sleep,1001010110001000,—
wdr,1001010110101000,—
